CampaignID,StartDate,EndDate,Channel,Impressions,Clicks,Leads,Conversions,Cost_USD,Revenue_USD,ROI,Lucro,CTR,Conversion_Rate,CPA
CAMP00001,2025-04-13,2025-04-19,Search,293520,23335,11643,5389,1052.39,2236.02,1.12,1183.6299999999999,7.950054510765876,23.094064709663595,0.19528483948784564
CAMP00002,2025-12-15,2025-12-24,Search,200340,15841,6601,2498,3964.9,11740.15,1.96,7775.25,7.9070580013976235,15.7692064894893,1.5872297838270617
CAMP00003,2025-09-28,2025-10-06,Email,239365,16478,8043,3397,1000.39,1902.24,0.9,901.85,6.884047375347273,20.615365942468745,0.2944921989991169
CAMP00004,2025-04-17,2025-04-30,Search,156382,2672,1014,342,1252.63,2209.74,0.76,957.1099999999997,1.7086365438477573,12.79940119760479,3.6626608187134506
CAMP00005,2025-03-13,2025-03-22,Influencer,285472,4155,1521,565,4935.48,14111.31,1.86,9175.83,1.4554842506445465,13.598074608904934,8.735362831858406
CAMP00006,2025-07-08,2025-07-21,Social,177469,7979,3231,1446,3540.34,3885.94,0.1,345.5999999999999,4.495996483892962,18.12257175084597,2.4483679114799446
CAMP00007,2025-01-21,2025-02-05,Display,174231,2160,379,107,1999.53,3306.37,0.65,1306.84,1.2397334573066792,4.953703703703704,18.687196261682242
CAMP00008,2025-04-13,2025-04-26,Display,234598,21435,9052,2295,3793.91,7159.09,0.89,3365.1800000000003,9.136906537992651,10.706787963610918,1.653119825708061
CAMP00009,2025-05-02,2025-05-08,Influencer,209438,2474,1207,697,2385.72,2800.53,0.17,414.8100000000004,1.181256505505209,28.172999191592563,3.422840746054519
CAMP00010,2025-08-03,2025-08-16,Search,195376,2474,852,251,1142.07,2323.19,1.03,1181.1200000000001,1.2662763082466628,10.145513338722715,4.5500796812749
CAMP00011,2025-11-27,2025-12-04,Social,53998,1343,140,55,2491.07,4360.88,0.75,1869.81,2.48712915293159,4.095309009679822,45.292181818181824
CAMP00012,2025-03-29,2025-04-06,Search,107304,7128,918,463,3882.92,7276.43,0.87,3393.51,6.642809214940729,6.495510662177328,8.386436285097192
CAMP00013,2025-04-10,2025-04-15,Email,194692,11436,2217,936,973.85,2310.62,1.37,1336.77,5.873893123497627,8.184679958027283,1.0404380341880342
CAMP00014,2025-12-26,2025-12-31,Search,207001,14356,4255,1931,2479.11,2827.93,0.14,348.8199999999997,6.935232196945909,13.450821955976593,1.2838477472812015
CAMP00015,2025-06-01,2025-06-06,Email,257862,23315,6190,1642,684.67,2001.69,1.92,1317.02,9.041657941069255,7.042676388591036,0.416973203410475
CAMP00016,2025-05-11,2025-05-24,Display,159957,8149,4006,1434,4229.14,8648.05,1.04,4418.909999999999,5.09449414530155,17.597251196465823,2.9491910739191076
CAMP00017,2025-05-30,2025-06-14,Social,12103,168,80,38,4112.15,11010.78,1.68,6898.630000000001,1.3880855986119145,22.61904761904762,108.21447368421052
CAMP00018,2025-11-05,2025-11-17,Email,281690,22173,5700,1618,3399.93,5565.65,0.64,2165.72,7.8714189357094675,7.297163216524602,2.1013164400494437
CAMP00019,2025-09-15,2025-09-24,Search,260948,21678,9055,3562,4608.11,7497.56,0.63,2889.4500000000007,8.30740224105952,16.431405111172616,1.2936861313868613
CAMP00020,2025-12-10,2025-12-19,Search,151528,2195,778,338,2059.75,5783.01,1.81,3723.26,1.4485771606567763,15.398633257403189,6.093934911242603
CAMP00021,2025-10-21,2025-11-03,Display,285372,9090,1793,924,746.69,922.13,0.23,175.43999999999994,3.185316008578277,10.165016501650165,0.8081060606060607
CAMP00022,2025-07-11,2025-07-18,Influencer,267190,21202,10017,2870,4880.6,5893.6,0.21,1013.0,7.93517721471612,13.536458824639187,1.7005574912891988
CAMP00023,2025-10-04,2025-10-11,Influencer,221014,9692,1975,1167,2614.07,6258.53,1.39,3644.4599999999996,4.385242563819487,12.040858439950474,2.2399914310197087
CAMP00024,2025-06-10,2025-06-21,Search,120965,6355,2847,1671,2430.02,4694.93,0.93,2264.9100000000003,5.25358574794362,26.294256490952005,1.4542309994015559
CAMP00025,2025-11-10,2025-11-23,Influencer,20930,1759,624,127,412.25,1003.68,1.43,591.43,8.404204491161012,7.220011370096646,3.2460629921259843
CAMP00026,2025-01-22,2025-02-01,Social,85823,1589,553,191,2894.85,5401.22,0.87,2506.3700000000003,1.851485033149622,12.020138451856512,15.156282722513089
CAMP00027,2025-09-10,2025-09-16,Influencer,256025,18166,7908,1796,3259.23,4639.47,0.42,1380.2400000000002,7.0954008397617425,9.886601343168557,1.8147160356347438
CAMP00028,2025-08-24,2025-08-29,Social,204494,6001,1786,583,2418.62,5878.43,1.43,3459.8100000000004,2.934560427200798,9.715047492084652,4.148576329331046
CAMP00029,2025-12-11,2025-12-17,Search,83880,1311,578,255,4561.0,4917.26,0.08,356.2600000000002,1.5629470672389127,19.450800915331808,17.886274509803922
CAMP00030,2025-02-18,2025-02-23,Search,223626,15569,4983,2209,3737.65,7086.3,0.9,3348.65,6.962070600019676,14.188451409852911,1.6920099592575826
CAMP00031,2025-02-28,2025-03-14,Search,177827,3721,1837,438,289.24,554.56,0.92,265.31999999999994,2.09248314372958,11.771029293200751,0.660365296803653
CAMP00032,2025-06-19,2025-07-03,Display,188552,14561,5299,2495,2758.59,3188.53,0.16,429.94000000000005,7.722538079680937,17.134812169493856,1.1056472945891784
CAMP00033,2025-07-07,2025-07-20,Influencer,12293,347,86,46,4969.0,7370.33,0.48,2401.33,2.8227446514276417,13.256484149855908,108.02173913043478
CAMP00034,2025-09-28,2025-10-12,Email,73542,1056,428,193,1078.76,1639.65,0.52,560.8900000000001,1.4359141714938402,18.276515151515152,5.589430051813472
CAMP00035,2025-07-09,2025-07-21,Email,65528,1240,376,121,3124.16,8703.85,1.79,5579.6900000000005,1.8923208399462825,9.758064516129032,25.819504132231405
CAMP00036,2025-06-24,2025-07-05,Search,113885,9761,4123,828,1440.13,2916.67,1.03,1476.54,8.570926812135049,8.482737424444217,1.7392874396135267
CAMP00037,2025-02-20,2025-02-27,Influencer,150771,6541,2834,1301,1920.27,4496.36,1.34,2576.0899999999997,4.3383674579328915,19.88992508790705,1.4759953881629515
CAMP00038,2025-12-30,2026-01-11,Social,164506,6120,2122,999,264.81,293.89,0.11,29.079999999999984,3.7202290493963743,16.323529411764707,0.26507507507507505
CAMP00039,2025-02-24,2025-03-02,Email,59669,3234,1451,701,3470.79,4189.11,0.21,718.3199999999997,5.419899780455513,21.675943104514534,4.951198288159771
CAMP00040,2025-09-01,2025-09-07,Search,284746,19067,4983,1074,3852.05,8192.31,1.13,4340.259999999999,6.696143229404451,5.632768657890597,3.586638733705773
CAMP00041,2025-11-16,2025-12-01,Email,176858,2359,290,117,3887.29,10379.97,1.67,6492.679999999999,1.3338384466634248,4.959728698601102,33.224700854700856
CAMP00042,2025-05-11,2025-05-25,Email,277096,25170,9188,3357,4855.66,5370.17,0.11,514.5100000000002,9.083494528971908,13.337306317044101,1.4464283586535598
CAMP00043,2025-11-03,2025-11-10,Email,121032,11650,4727,2396,4205.6,12477.79,1.97,8272.19,9.625553572608897,20.566523605150213,1.7552587646076796
CAMP00044,2025-05-15,2025-05-26,Search,37905,1802,232,113,1117.27,3095.83,1.77,1978.56,4.753990238754781,6.270810210876804,9.887345132743363
